,double,single,triple
2018-01-18 09:29:11,-0.06031610287391604,0.004775984084826756,0.052392294423914555
2018-01-18 09:29:41,-0.060203167049918356,0.0047196811320303995,0.05325376834722021
2018-01-18 09:29:51,-0.060084504689496054,0.0046965309058402405,0.05371075113497069
2018-01-18 09:30:01,-0.059964754459029226,0.0046732773327591345,0.05378610869226025
2018-01-18 09:30:11,-0.05984391125743768,0.0046499195254164375,0.054221372232554965
2018-01-18 09:30:31,-0.05971672337493768,0.004609515822336625,0.05500286426339496
2018-01-18 09:30:41,-0.05959166335321596,0.004585875141559852,0.05541284644738866
2018-01-18 09:30:51,-0.05946554170658167,0.004562105471948177,0.055813393705025485
2018-01-18 09:31:00,-0.05933834777484541,0.004538198181192768,0.05620450173534052
2018-01-18 09:31:11,-0.05920972382319551,0.004514172211190684,0.05658693578532527
2018-01-18 09:31:21,-0.05907984110866556,0.004490038257821473,0.05696044205160849
2018-01-18 09:31:31,-0.058948709813934935,0.004465827375888018,0.05732446759293471
2018-01-18 09:31:41,-0.058816365765206484,0.0044415331142876316,0.057679772325515445
2018-01-18 09:31:51,-0.058682656707142844,0.00441714809113132,0.058026466262207796
2018-01-18 09:32:01,-0.058547644854339734,0.0043926685351939445,0.05836226471208256
2018-01-18 09:32:11,-0.0584303217583016,0.004368098072564649,0.05868985718270126
2018-01-18 09:32:21,-0.058293585335045243,0.004343439295741165,0.05900864892141533
2018-01-18 09:32:32,-0.058155590716604866,0.004318680417457814,0.059317311652441605
2018-01-18 09:32:41,-0.05801662741719874,0.0042938004244088826,0.059616125178300006
2018-01-18 09:32:51,-0.05787686169475927,0.004268810045047651,0.059903997750113666
2018-01-18 09:33:01,-0.05773647470276263,0.004243711969714587,0.060179434634167465
2018-01-18 09:33:11,-0.05759563198682748,0.004218479366355944,0.06044304962602461
2018-01-18 09:33:21,-0.05748102817054057,0.004193054553602989,0.060695481563805054
2018-01-18 09:33:31,-0.057367073493745493,0.004167475096631299,0.06093758822017691
2018-01-18 09:33:41,-0.05722651530372728,0.0041416996653107305,0.06116771123557317
2018-01-18 09:33:51,-0.057085388710663945,0.004115726494693127,0.06138622871829658
