,avg,base,close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-23 20:54:31,11124.655191321608,btc,11147.72953485,usd,2018-01-23,2018-01-23 20:54:31,1516730071.0,0.0007462493593465185,-1121294.819542152,71320.67601216001
2018-01-23 21:47:41,11171.229808911123,btc,11187.0,usd,2018-01-23,2018-01-23 21:47:41,1516733261.0,0.0024846357873692126,-3757866.2215332068,71504.44840916999
2018-01-23 23:26:31,10920.1511368158,btc,10951.0,usd,2018-01-23,2018-01-23 23:26:31,1516739191.0,0.004642103603698271,-7030062.615226222,71718.81637854
2018-01-24 01:03:21,10976.274193548381,btc,10960.0,usd,2018-01-24,2018-01-24 01:03:21,1516745001.0,0.004865432718566555,-7368762.715207907,68209.28337179999
2018-01-24 05:08:32,10563.611574296607,btc,10602.0,usd,2018-01-24,2018-01-24 05:08:32,1516759712.0,0.006474000387244894,-9808545.373194942,64749.25967349001
2018-01-24 06:59:32,10769.485723144995,btc,10786.0,usd,2018-01-24,2018-01-24 06:59:32,1516766372.0,0.007082280821967426,-10731183.790253261,64822.99062517
2018-01-24 07:34:22,10528.157951522897,btc,10571.0,usd,2018-01-24,2018-01-24 07:34:22,1516768462.0,0.007428066541160295,-11255664.107144454,65370.03535250999
2018-01-24 08:26:52,10584.976099268704,btc,10596.43942876,usd,2018-01-24,2018-01-24 08:26:52,1516771612.0,0.007174451317807901,-10871023.577935843,64096.36892163
2018-01-24 10:55:52,10882.710157593707,btc,10877.0,usd,2018-01-24,2018-01-24 10:55:52,1516780552.0,0.005628335206614523,-8525987.95477815,61853.1429465
2018-01-24 12:24:42,10784.738251287414,btc,10791.0,usd,2018-01-24,2018-01-24 12:24:42,1516785882.0,0.005225707872484822,-7915309.453748623,59205.36271476
2018-01-24 13:49:02,10954.91815476983,btc,10993.0,usd,2018-01-24,2018-01-24 13:49:02,1516790942.0,0.004801270936272344,-7271545.688289281,59248.7789497
2018-01-24 14:17:02,10974.196337024026,btc,10983.0,usd,2018-01-24,2018-01-24 14:17:02,1516792622.0,0.004474088987358077,-6775287.7397888405,58487.69485847001
2018-01-24 15:02:32,10957.674172741285,btc,11000.0,usd,2018-01-24,2018-01-24 15:02:32,1516795352.0,0.003553385131995731,-5378793.02369364,55109.90126105
2018-01-24 16:16:12,11251.53934242064,btc,11269.0,usd,2018-01-24,2018-01-24 16:16:12,1516799772.0,0.002481508633190707,-3752979.7008990515,54826.42087314001
2018-01-24 16:44:02,11232.00200299387,btc,11266.0,usd,2018-01-24,2018-01-24 16:44:02,1516801442.0,0.0021913554300140893,-3312870.3229241716,54803.13786986
2018-01-24 20:23:52,10925.208866655801,btc,10960.0,usd,2018-01-24,2018-01-24 20:23:52,1516814632.0,0.0018213869316611516,-2751657.912450832,51095.49363186
2018-01-24 21:50:33,11023.885031658703,btc,11040.0,usd,2018-01-24,2018-01-24 21:50:33,1516819833.0,0.0032804261739245123,-4964714.701635663,50003.13164682
2018-01-25 00:04:22,11139.387104975802,btc,11157.0,usd,2018-01-25,2018-01-25 00:04:22,1516827862.0,0.00549489744988651,-8323615.286998326,47627.89569913
2018-01-25 01:58:42,11101.919354838705,btc,11110.0,usd,2018-01-25,2018-01-25 01:58:42,1516834722.0,0.006953670581672673,-10536292.584865723,45122.53645214
2018-01-25 03:20:03,11338.037290836606,btc,11355.0,usd,2018-01-25,2018-01-25 03:20:03,1516839603.0,0.00755612771202181,-11450114.510517444,43942.26920114
2018-01-25 05:02:23,11334.842282209831,btc,11345.0,usd,2018-01-25,2018-01-25 05:02:23,1516845743.0,0.007592614566681643,-11505456.667714458,42534.63020813
2018-01-25 07:44:13,11425.575812887411,btc,11449.0,usd,2018-01-25,2018-01-25 07:44:13,1516855453.0,0.007812503455609804,-11838967.12793602,43332.42202589
2018-01-25 10:34:14,11422.91409738596,btc,11430.0,usd,2018-01-25,2018-01-25 10:34:14,1516865654.0,0.0069223204519199034,-10488706.710886348,41995.60224099
2018-01-25 12:19:03,11193.19900805967,btc,11216.0,usd,2018-01-25,2018-01-25 12:19:03,1516871943.0,0.005921451779003781,-8970571.570556669,42811.53642821
2018-01-25 14:01:39,11300.70997791838,btc,11317.0,usd,2018-01-25,2018-01-25 14:01:39,1516878099.0,0.004459771058357912,-6753452.568443234,41684.85393740002
2018-01-25 16:05:38,11077.511298322252,btc,11097.0,usd,2018-01-25,2018-01-25 16:05:38,1516885538.0,0.0029610953021255676,-4480220.726168484,38755.52734542
2018-01-25 19:03:48,10964.141966151441,btc,10950.0,usd,2018-01-25,2018-01-25 19:03:48,1516896228.0,0.001987144286402541,-3002929.5484137526,34587.98358747001
2018-01-26 00:15:19,11289.03637441112,btc,11308.0,usd,2018-01-26,2018-01-26 00:15:19,1516914919.0,-0.003050095387999386,4637892.20211675,35364.74640642
2018-01-26 00:59:59,11198.930867881603,btc,11227.04621391,usd,2018-01-26,2018-01-26 00:59:59,1516917599.0,-0.003238792927212957,4924131.060467889,35035.29683435
2018-01-26 04:28:09,11331.0911004066,btc,11328.0,usd,2018-01-26,2018-01-26 04:28:09,1516930089.0,-0.004360917394610989,6626305.441662077,33946.52243257
2018-01-26 13:03:20,10353.00580136047,btc,10388.0,usd,2018-01-26,2018-01-26 13:03:20,1516961000.0,-0.0009957082023564388,1521611.313515797,45243.64652298
2018-01-26 19:18:41,11159.40322580644,btc,11160.0,usd,2018-01-26,2018-01-26 19:18:41,1516983521.0,-0.008203661945482284,12455514.861648312,58030.52686425
2018-01-26 19:32:00,11103.032258064504,btc,11128.0,usd,2018-01-26,2018-01-26 19:32:00,1516984320.0,-0.008101256470843438,12300179.711909061,58387.33643392001
2018-01-26 20:41:30,10995.668795696278,btc,11017.0,usd,2018-01-26,2018-01-26 20:41:30,1516988490.0,-0.008177910126038336,12416498.023038965,57277.35824885001
2018-01-26 22:58:41,10906.612903225796,btc,10906.0,usd,2018-01-26,2018-01-26 22:58:41,1516996721.0,-0.007855557698532039,11927556.169657309,56401.10109619
2018-01-27 03:38:02,11085.010119479022,btc,11094.0,usd,2018-01-27,2018-01-27 03:38:02,1517013482.0,-0.005861205031399446,8902254.660377875,56938.34632973
2018-01-27 05:19:11,10906.833153218215,btc,10957.0,usd,2018-01-27,2018-01-27 05:19:11,1517019551.0,-0.0037429366683279755,5688905.179479821,55725.45773856
2018-01-27 07:04:21,10999.152337661442,btc,10995.0,usd,2018-01-27,2018-01-27 07:04:21,1517025861.0,-7.07453785518363e-05,118246.62712804457,54906.08272348
2018-01-27 09:54:31,11403.743162928053,btc,11339.0,usd,2018-01-27,2018-01-27 09:54:31,1517036071.0,0.0057177002818076415,-8662807.334560722,58670.70020362
2018-01-27 10:38:31,11174.161290322569,btc,11179.0,usd,2018-01-27,2018-01-27 10:38:31,1517038711.0,0.007365024910466249,-11161807.757224374,58654.56365457
2018-01-27 11:43:51,11153.04353297386,btc,11184.0,usd,2018-01-27,2018-01-27 11:43:51,1517042631.0,0.008527936090455327,-12925960.51701744,51422.97204926
2018-01-27 14:46:42,10898.575860806925,btc,10922.0,usd,2018-01-27,2018-01-27 14:46:42,1517053602.0,0.0066758004474985755,-10116259.839294182,41670.06109193
2018-01-27 17:21:21,10981.120075908055,btc,10991.0,usd,2018-01-27,2018-01-27 17:21:21,1517062881.0,0.0029219809857305903,-4421655.253067717,36770.23670309
2018-01-27 20:22:02,11502.90322580644,btc,11516.0,usd,2018-01-27,2018-01-27 20:22:02,1517073722.0,0.0035400994311920388,-5359348.187755977,35152.623076669995
2018-01-27 21:19:02,11432.368962739665,btc,11445.0,usd,2018-01-27,2018-01-27 21:19:02,1517077142.0,0.0045061640669381165,-6824895.545981116,34964.711849629995
2018-01-28 00:17:53,11482.045801973534,btc,11494.908664219998,usd,2018-01-28,2018-01-28 00:17:53,1517087873.0,0.0062891033849711495,-9529676.254565032,34650.59699079
2018-01-28 02:57:52,11390.643416115628,btc,11404.0,usd,2018-01-28,2018-01-28 02:57:52,1517097472.0,0.00593414956246285,-8991182.265696405,34378.84426302001
2018-01-28 04:45:32,11451.40803903047,btc,11460.0,usd,2018-01-28,2018-01-28 04:45:32,1517103932.0,0.006226386668055015,-9434529.665883033,34579.13986679
2018-01-28 05:46:12,11438.544587360308,btc,11432.0,usd,2018-01-28,2018-01-28 05:46:12,1517107572.0,0.005953150741207972,-9020015.051776938,34232.64991038
2018-01-28 08:48:22,11882.181759917405,btc,11887.0,usd,2018-01-28,2018-01-28 08:48:22,1517118502.0,0.006802750401757978,-10308914.346342668,36601.9386365
2018-01-28 12:44:03,11835.274193548374,btc,11848.0,usd,2018-01-28,2018-01-28 12:44:03,1517132643.0,0.010895910722900299,-16518580.064382209,34994.75555408
2018-01-28 16:30:05,11702.496126485308,btc,11730.0,usd,2018-01-28,2018-01-28 16:30:05,1517146205.0,0.009487243275682442,-14381508.591338525,35675.1547165
2018-01-28 19:26:54,11742.812019780311,btc,11754.0,usd,2018-01-28,2018-01-28 19:26:54,1517156814.0,0.006138547728178718,-9301180.404068047,32368.79187649
2018-01-28 21:02:03,11742.84071708547,btc,11741.0,usd,2018-01-28,2018-01-28 21:02:03,1517162523.0,0.005711597165865559,-8653458.018983891,31466.36531752
2018-01-28 22:15:23,11739.116588124985,btc,11754.0,usd,2018-01-28,2018-01-28 22:15:23,1517166923.0,0.004940926165483057,-7484263.666343426,31526.702295160005
2018-01-29 02:42:53,11818.37628408547,btc,11826.0,usd,2018-01-29,2018-01-29 02:42:53,1517182973.0,0.0032779860571687655,-4961368.032201636,29941.75454464
2018-01-29 15:01:34,11149.761151532724,btc,11201.0,usd,2018-01-29,2018-01-29 15:01:34,1517227294.0,-0.006847875878552074,10401148.623980233,27983.48926184
2018-01-30 02:06:35,11110.730233074499,btc,11127.0,usd,2018-01-30,2018-01-30 02:06:35,1517267195.0,-0.0057880988303757085,8793264.128186857,24903.97891898
2018-01-30 06:35:35,10839.260474049179,btc,10862.0,usd,2018-01-30,2018-01-30 06:35:35,1517283335.0,-0.004849529035637147,7369207.549843849,26214.119908409994
2018-01-30 08:17:05,10999.999649910469,btc,10998.0,usd,2018-01-30,2018-01-30 08:17:05,1517289425.0,-0.004965782309072371,7545581.311367933,26750.07882806001
2018-01-30 13:50:56,10883.848966868534,btc,10876.0,usd,2018-01-30,2018-01-30 13:50:56,1517309456.0,-0.005291632420704983,8039988.955394588,27431.91270675
