,avg,base,close,in_close,quot,tick_date,tick_time,timestamp,trend_coef,trend_intercept,volume
2018-01-27 14:46:42,10898.575860806925,btc,10922.0,10940.0,usd,2018-01-27,2018-01-27 14:46:42,1517053602.0,0.0066758004474985755,-10116259.839294182,41670.06109193
2018-01-28 12:44:03,11835.274193548374,btc,11848.0,11900.0,usd,2018-01-28,2018-01-28 12:44:03,1517132643.0,0.0108959107229003,-16518580.064382207,34994.75555408
2018-01-28 16:30:05,11702.496126485308,btc,11730.0,11773.0,usd,2018-01-28,2018-01-28 16:30:05,1517146205.0,0.009487243275682442,-14381508.591338525,35675.1547165
2018-01-29 05:17:23,11469.429676751924,btc,11482.0,11576.0,usd,2018-01-29,2018-01-29 05:17:23,1517192243.0,0.0003779884430995369,-561644.1292443683,32849.986072960004
2018-01-29 09:59:34,11328.505448455957,btc,11343.0,11373.0,usd,2018-01-29,2018-01-29 09:59:34,1517209174.0,-0.00492406113427924,7482403.237367892,29229.92180362001
2018-01-29 15:01:34,11149.761151532724,btc,11201.0,11258.0,usd,2018-01-29,2018-01-29 15:01:34,1517227294.0,-0.006847875878552075,10401148.623980232,27983.48926184
2018-01-30 02:06:35,11110.730233074499,btc,11127.0,11154.0,usd,2018-01-30,2018-01-30 02:06:35,1517267195.0,-0.005788098830375709,8793264.128186857,24903.97891898
2018-01-30 05:05:25,10925.757977349342,btc,10918.0,10976.0,usd,2018-01-30,2018-01-30 05:05:25,1517277925.0,-0.004035066269146168,6133486.498813072,25268.66740003
2018-01-30 13:50:56,10883.848966868534,btc,10876.0,10950.0,usd,2018-01-30,2018-01-30 13:50:56,1517309456.0,-0.005291632420704983,8039988.9553945875,27431.91270675
2018-01-30 17:31:46,10533.35234709353,btc,10561.0,10603.0,usd,2018-01-30,2018-01-30 17:31:46,1517322706.0,-0.0068444091665868815,10395991.778708287,34008.52573579
2018-01-30 18:51:04,10285.471621881596,btc,10313.0,10399.0,usd,2018-01-30,2018-01-30 18:51:04,1517327464.0,-0.008209952714140606,12467894.712255765,39305.56716887
2018-01-30 21:31:29,9974.367341811268,btc,9972.1,10123.0,usd,2018-01-30,2018-01-30 21:31:29,1517337089.0,-0.010646319541427729,16164546.015089927,47979.82464553
2018-01-31 03:22:56,10069.300169771592,btc,10104.0,10139.0,usd,2018-01-31,2018-01-31 03:22:56,1517358176.0,-0.013326622778359163,20231378.47328401,62218.79976279999
2018-01-31 04:15:17,9816.461939513529,btc,9851.1,10011.0,usd,2018-01-31,2018-01-31 04:15:17,1517361317.0,-0.013657320968081872,20733150.472275246,67626.55401929001
2018-01-31 07:45:07,9872.29073056788,btc,9885.0,9955.6,usd,2018-01-31,2018-01-31 07:45:07,1517373907.0,-0.015217669157450512,23100741.740053724,68726.94318755997
2018-01-31 12:46:47,10062.010949359335,btc,10111.98208287,10163.0,usd,2018-01-31,2018-01-31 12:46:47,1517392007.0,-0.010437870888896226,15848197.911091944,72251.46491103
2018-01-31 18:07:37,9962.606993579173,btc,9975.0,10050.0,usd,2018-01-31,2018-01-31 18:07:37,1517411257.0,-0.0013918870212251216,2122175.522447978,68010.3308902
2018-02-01 07:16:37,10017.343548387076,btc,10043.0,10120.0,usd,2018-02-01,2018-02-01 07:16:37,1517458597.0,0.0008144860938373671,-1225782.999466412,32824.18426775
2018-02-01 11:53:08,9867.198289615144,btc,9915.0,9967.0,usd,2018-02-01,2018-02-01 11:53:08,1517475188.0,-0.00012095597881877292,193685.55685244087,34810.823024059995
2018-02-01 13:34:27,9559.348969859337,btc,9547.0,9610.7,usd,2018-02-01,2018-02-01 13:34:27,1517481267.0,-0.001994835518710221,3037151.47414776,41130.82681027002
2018-02-01 15:51:38,9403.43135020175,btc,9435.0,9500.0,usd,2018-02-01,2018-02-01 15:51:38,1517489498.0,-0.004457542038890953,6774124.8291948335,46579.55499215001
2018-02-01 20:30:09,9072.580313395141,btc,9099.9,9164.0,usd,2018-02-01,2018-02-01 20:30:09,1517506209.0,-0.011619745769583969,17642433.462179825,59556.26572269999
2018-02-02 02:08:19,9150.845470959652,btc,9139.0,9162.9,usd,2018-02-02,2018-02-02 02:08:19,1517526499.0,-0.01638003096797167,24866110.135297567,78408.81254516997
2018-02-02 04:15:10,8906.63225806449,btc,8909.2,8947.9,usd,2018-02-02,2018-02-02 04:15:10,1517534110.0,-0.016093999113430506,24432085.497458365,84729.65136626003
2018-02-02 07:46:30,8764.242958999159,btc,8767.0,8806.5,usd,2018-02-02,2018-02-02 07:46:30,1517546790.0,-0.015220324883840557,23106300.35802737,91222.24646587
2018-02-02 09:54:21,8576.009918458038,btc,8635.1,8630.0,usd,2018-02-02,2018-02-02 09:54:21,1517554461.0,-0.013533340047605428,20546271.21301115,101213.14043445
2018-02-02 12:29:43,8335.517402734331,btc,8350.2,8500.0,usd,2018-02-02,2018-02-02 12:29:43,1517563783.0,-0.011776662394400313,17880453.726364788,105952.18923059
2018-02-02 14:55:51,8227.248223539358,btc,8216.0,8275.0,usd,2018-02-02,2018-02-02 14:55:51,1517572551.0,-0.012439537427772254,18886360.78643911,112458.61220309998
2018-02-02 15:54:31,8006.766462417745,btc,8000.8,8299.0,usd,2018-02-02,2018-02-02 15:54:31,1517576071.0,-0.013064022687005341,19834025.33598437,116763.81642641
2018-02-02 17:50:12,8635.109677419352,btc,8703.1,8828.829053200001,usd,2018-02-02,2018-02-02 17:50:12,1517583012.0,-0.011994262765135823,18210647.977577116,131815.20711246002
2018-02-02 20:39:02,8819.254078424037,btc,8855.1,8859.0,usd,2018-02-02,2018-02-02 20:39:02,1517593142.0,-0.008069528817983757,12254750.270680744,133047.79480466002
2018-02-02 22:20:12,8548.299924612258,btc,8575.9,8578.865226299999,usd,2018-02-02,2018-02-02 22:20:12,1517599212.0,-0.007070021769579303,10737963.194155645,134347.37096902
2018-02-03 05:01:32,8572.243477176291,btc,8590.0,8666.9,usd,2018-02-03,2018-02-03 05:01:32,1517623292.0,0.00029204441723807144,-434507.52654238994,116626.0746983
2018-02-03 06:56:23,8249.157759128873,btc,8300.0,8341.1,usd,2018-02-03,2018-02-03 06:56:23,1517630183.0,0.0007556834557534926,-1138155.2716200622,116950.79660996998
2018-02-03 14:13:42,8786.14722614985,btc,8800.2,8870.0,usd,2018-02-03,2018-02-03 14:13:42,1517656422.0,0.00143492846604517,-2169002.4522053683,90828.57968363
2018-02-03 19:25:24,9141.1537828913,btc,9161.9,9205.3,usd,2018-02-03,2018-02-03 19:25:24,1517675124.0,0.005111022625234077,-7747850.551191046,57987.59187473
2018-02-04 00:29:32,9186.48045454743,btc,9184.0,9259.9,usd,2018-02-04,2018-02-04 00:29:32,1517693372.0,0.010582787598941544,-16052058.291948656,53815.67614757
2018-02-04 05:06:42,8976.526510073241,btc,8992.3,9058.1,usd,2018-02-04,2018-02-04 05:06:42,1517710002.0,0.010383693591535945,-15750003.30471853,51187.19360017
2018-02-04 13:33:03,8731.498724311947,btc,8744.1,8936.2,usd,2018-02-04,2018-02-04 13:33:03,1517740383.0,-0.0008216120117418197,1256117.308613152,44878.52882991
2018-02-04 15:42:03,8494.752316782271,btc,8534.7,8608.6,usd,2018-02-04,2018-02-04 15:42:03,1517748123.0,-0.00457238302035382,6948670.664513077,49277.29977846
2018-02-04 19:33:53,8307.760517097411,btc,8374.1,8465.4,usd,2018-02-04,2018-02-04 19:33:53,1517762033.0,-0.008364259685717714,12703638.520466125,48804.7187169
2018-02-04 22:35:53,8222.529119635314,btc,8246.0,8273.0,usd,2018-02-04,2018-02-04 22:35:53,1517772953.0,-0.010811579918788377,16417992.56443833,52607.71791388
2018-02-04 23:45:04,7895.165751636767,btc,7959.6,8020.0,usd,2018-02-04,2018-02-04 23:45:04,1517777104.0,-0.011876785336734624,18034676.748773266,66445.07748359999
2018-02-05 04:43:14,8003.846403050003,btc,8000.0,8121.0,usd,2018-02-05,2018-02-05 04:43:14,1517794994.0,-0.014358645478931259,21801544.230396885,78558.50365476
2018-02-05 11:28:35,7850.236230274358,btc,7889.2,7959.1,usd,2018-02-05,2018-02-05 11:28:35,1517819315.0,-0.010398286946503093,15790665.840555318,85598.09178985
2018-02-05 15:05:45,7568.857630504687,btc,7593.1,7665.2,usd,2018-02-05,2018-02-05 15:05:45,1517832345.0,-0.00939912685950668,14274125.234972145,94786.41398261
2018-02-05 18:33:56,7285.459461785653,btc,7300.9,7457.7,usd,2018-02-05,2018-02-05 18:33:56,1517844836.0,-0.0101959503110394,15483500.906362107,102109.44784557998
